label,outcome,score_term,fe_spec,estimate,se,pvalue,n,r2
ECB Stmt -> EURUSD [net],EURUSD,net_score,B,0.04158539430975163,0.11511227069093148,0.718214322348268,253,0.02574128862674052
ECB Stmt -> EURUSD [net],EURUSD,net_score,C,0.0895608048936162,0.12491541178925702,0.4740745589796964,253,0.030302377285342685
ECB Stmt -> SX7E [net],SX7E,net_score,A,-0.22137311290996364,0.22882983516736308,0.33427221048157174,253,0.05700499310633189
ECB Stmt -> SX7E [net],SX7E,net_score,B,0.06205710088244844,0.279185069309632,0.8242800392484269,253,0.07438870924226115
ECB Stmt -> SX7E [net],SX7E,net_score,C,-0.14877082653759574,0.3008557009187127,0.6214016486854004,253,0.08872259619641631
ECB Stmt -> OIS_MP2 [net],OIS_MP2,net_score,A,-0.40361603862534845,0.7444468231550612,0.5882029923949088,244,0.21025315696501634
ECB Stmt -> OIS_MP2 [net],OIS_MP2,net_score,B,-1.4401616858890995,1.412297740883989,0.30889219714983374,244,0.23004007917838998
ECB Stmt -> OIS_MP2 [net],OIS_MP2,net_score,C,-1.4512608741373736,1.36533373506773,0.2888979073167404,244,0.23304242418076027
ECB Stmt -> OIS_10Y [net],OIS_10Y,net_score,A,-0.6497242597012076,0.7540568450651352,0.3907610003681985,113,0.015840093379601794
ECB Stmt -> OIS_10Y [net],OIS_10Y,net_score,B,-0.7899509284981641,1.0115174701214347,0.4365366841402242,113,0.01819835991125829
ECB Stmt -> OIS_10Y [net],OIS_10Y,net_score,C,-0.43635912656774883,1.043730964590526,0.6767292168688547,113,0.02522528350777853
ECB Stmt -> DE2Y [net],DE2Y,net_score,A,-0.4189526856402561,0.8475010221171604,0.6215009802307678,253,0.11669036563207835
ECB Stmt -> DE2Y [net],DE2Y,net_score,B,-1.208892372234941,1.4735653547548062,0.41278710678131914,253,0.1251068664276187
ECB Stmt -> DE2Y [net],DE2Y,net_score,C,-1.2761328800501248,1.524628109854275,0.4034012002948111,253,0.1292741178670801
ECB Stmt -> DE10Y [net],DE10Y,net_score,A,-0.15101418794656646,0.7096723105114959,0.8316608582209181,253,0.035670052581195266
ECB Stmt -> DE10Y [net],DE10Y,net_score,B,-0.5250030969555025,1.1635913337188772,0.6522470452348654,253,0.04642812604422175
ECB Stmt -> DE10Y [net],DE10Y,net_score,C,-0.5659745762424938,1.2402195418493187,0.648542370993374,253,0.05020543547613987
ECB Stmt -> IT10Y_spread [net],IT10Y_spread,net_score,A,1.3950469553517726,1.2852342110775212,0.2788623874056038,233,0.01954269329464109
ECB Stmt -> IT10Y_spread [net],IT10Y_spread,net_score,B,1.2556725587707553,1.29747119087387,0.3341819567140232,233,0.051009795590284845
ECB Stmt -> IT10Y_spread [net],IT10Y_spread,net_score,C,0.8183775516258891,1.4773248408314268,0.5801569498561225,233,0.05608573785892945
