term_stem,MeanDecreaseGini,term_original,direction,corpus
bond.issu,0.988778972471286,bond issu,-0.009817029221766912,ecb_stmt
maintain.favour,0.8160258053466655,maintain favour,0,ecb_stmt
council.confirm,0.7765315500076937,council confirm,0.00403141271509325,ecb_stmt
short.term,0.5955560237869352,short term,0.006240106792035365,ecb_stmt
bring.inflat,0.5773360542139381,bring inflat,0.001788838422677327,ecb_stmt
project.horizon,0.20821894564674767,project horizon,0,ecb_stmt
asset.class,0.04081962508696261,asset class,0,ecb_stmt
rate.unchang,47.17968674782913,rate unchang,-3.2092143566875846e-5,ecb_pc
rate.increas,21.052955529852223,rate increas,0.007212575490132303,ecb_pc
rate.cut,12.42922561707955,rate cut,-0.005181599301205838,ecb_pc
deposit.facil,11.511433338203224,deposit facil,-0.004642994364084417,ecb_pc
facil.rate,6.744242459285432,facil rate,-0.004843871161509628,ecb_pc
rate.decis,6.511927747119108,rate decis,0.0012035470846058355,ecb_pc
persist.upward,6.315162455286936,persist upward,0.003586568509150187,ecb_pc
support.real,6.181708140425498,support real,-0.00193274718066126,ecb_pc
posit.effect,5.972587698050258,posit effect,-0.003027774404788397,ecb_pc
warrant.continu,3.7657051733080946,warrant continu,0.002902249979371315,ecb_pc
market.rate,3.2262734901750165,market rate,2.7333175876662237e-5,ecb_pc
confid.survey,2.8685051565824558,confid survey,0.001880681660020549,ecb_pc
gradual.recov,2.631842779558474,gradual recov,-0.002427634112781687,ecb_pc
bold.decis,2.5725815694616916,bold decis,-0.00256051884248872,ecb_pc
