label,outcome,score_term,fe_spec,estimate,se,pvalue,n,r2,stars,coef_print,se_print,significant_10
ECB PC -> OIS_MP2 [fwd/curr],OIS_MP2,net_score_fwd,B,0.9775033985136872,1.6985316845090233,0.565521361235851,235,0.08508136918413123,,0.9775,(1.6985),FALSE
ECB PC -> OIS_MP2 [fwd/curr],OIS_MP2,net_score_curr,C,-1.559561347513814,1.131800932751615,0.16958254650732998,235,0.0874444299723981,,-1.5596,(1.1318),FALSE
ECB PC -> OIS_MP2 [fwd/curr],OIS_MP2,net_score_fwd,C,0.5269628140898412,1.995006471182263,0.7919120548077536,235,0.0874444299723981,,0.5270,(1.9950),FALSE
ECB PC -> SX5E [fwd/curr],SX5E,net_score_curr,A,0.11243907639692229,0.17830085962590078,0.5288952574642432,243,0.01201134357627131,,0.1124,(0.1783),FALSE
ECB PC -> SX5E [fwd/curr],SX5E,net_score_fwd,A,0.09754623705714824,0.18590719524481827,0.600275362271911,243,0.01201134357627131,,0.0975,(0.1859),FALSE
ECB PC -> SX5E [fwd/curr],SX5E,net_score_curr,B,0.09733242152764882,0.17488637126155485,0.578364567625212,243,0.01237990697287017,,0.0973,(0.1749),FALSE
ECB PC -> SX5E [fwd/curr],SX5E,net_score_fwd,B,0.08837200429346123,0.23567320727416435,0.708014417892867,243,0.01237990697287017,,0.0884,(0.2357),FALSE
ECB PC -> SX5E [fwd/curr],SX5E,net_score_curr,C,0.10532099120583206,0.18231701932514213,0.5640352733745164,243,0.0130394097410289,,0.1053,(0.1823),FALSE
ECB PC -> SX5E [fwd/curr],SX5E,net_score_fwd,C,0.10039328533009469,0.2445007866806747,0.6817378068475075,243,0.0130394097410289,,0.1004,(0.2445),FALSE
ECB PC -> SX7E [fwd/curr],SX7E,net_score_curr,A,0.30228619467573803,0.30538212586630487,0.3232425956333089,243,0.01832661896507004,,0.3023,(0.3054),FALSE
ECB PC -> SX7E [fwd/curr],SX7E,net_score_fwd,A,0.1472366099786825,0.34947109022017553,0.6739054069680059,243,0.01832661896507004,,0.1472,(0.3495),FALSE
ECB PC -> SX7E [fwd/curr],SX7E,net_score_curr,B,0.25231587221344665,0.30071030308116603,0.4022812258339872,243,0.0211323216941941,,0.2523,(0.3007),FALSE
ECB PC -> SX7E [fwd/curr],SX7E,net_score_fwd,B,0.11188952334935506,0.46241551684953297,0.8090154781227372,243,0.0211323216941941,,0.1119,(0.4624),FALSE
ECB PC -> SX7E [fwd/curr],SX7E,net_score_curr,C,0.15971975856906817,0.31539259401975994,0.6130416656385187,243,0.02690420544222715,,0.1597,(0.3154),FALSE
ECB PC -> SX7E [fwd/curr],SX7E,net_score_fwd,C,-0.07460623311648597,0.4596572707757252,0.871203073725511,243,0.02690420544222715,,-0.0746,(0.4597),FALSE
ECB Stmt -> DE10Y [fwd/curr],DE10Y,net_score_curr,A,-2.749544749093771,3.3074797437801187,0.4065943425915567,253,0.0488251690737761,,-2.7495,(3.3075),FALSE
ECB Stmt -> DE10Y [fwd/curr],DE10Y,net_score_fwd,A,1.0383813415628804,1.5199175489867205,0.4951265923386341,253,0.0488251690737761,,1.0384,(1.5199),FALSE
ECB Stmt -> DE10Y [fwd/curr],DE10Y,net_score_curr,B,-2.8624647907341845,3.384081392786143,0.39845191720624384,253,0.059228487229231457,,-2.8625,(3.3841),FALSE
ECB Stmt -> DE10Y [fwd/curr],DE10Y,net_score_fwd,B,0.6640514217579443,1.635610505080472,0.6850984209431763,253,0.059228487229231457,,0.6641,(1.6356),FALSE
ECB Stmt -> DE10Y [fwd/curr],DE10Y,net_score_curr,C,-2.8894955700517815,3.3794101936246053,0.3933735554256806,253,0.06317030040629223,,-2.8895,(3.3794),FALSE
ECB Stmt -> DE10Y [fwd/curr],DE10Y,net_score_fwd,C,0.667456796648008,1.797926272106238,0.7107831347355849,253,0.06317030040629223,,0.6675,(1.7979),FALSE
ECB Stmt -> DE2Y [fwd/curr],DE2Y,net_score_curr,A,-3.040920842925157,4.417562702189062,0.4918601711263711,253,0.12413655917341326,,-3.0409,(4.4176),FALSE
ECB Stmt -> DE2Y [fwd/curr],DE2Y,net_score_fwd,A,0.9485723619044792,2.0585321554209446,0.6453440465840949,253,0.12413655917341326,,0.9486,(2.0585),FALSE
ECB Stmt -> DE2Y [fwd/curr],DE2Y,net_score_curr,B,-3.3169175037940475,4.516845939251436,0.4634386454132796,253,0.13184132616092825,,-3.3169,(4.5168),FALSE
ECB Stmt -> DE2Y [fwd/curr],DE2Y,net_score_fwd,B,0.2065781057308942,2.1364232923416258,0.9230485820465728,253,0.13184132616092825,,0.2066,(2.1364),FALSE
ECB Stmt -> DE2Y [fwd/curr],DE2Y,net_score_curr,C,-3.355750810240243,4.497175395065426,0.4562704851163949,253,0.13608022982169043,,-3.3558,(4.4972),FALSE
ECB Stmt -> DE2Y [fwd/curr],DE2Y,net_score_fwd,C,0.2148817428179825,2.346276623457963,0.9271035910545772,253,0.13608022982169043,,0.2149,(2.3463),FALSE
ECB Stmt -> EURUSD [fwd/curr],EURUSD,net_score_curr,A,-0.1539341367744234,0.22257456777704948,0.48982848163130366,253,0.0070989337093692,,-0.1539,(0.2226),FALSE
ECB Stmt -> EURUSD [fwd/curr],EURUSD,net_score_fwd,A,0.12733273974051162,0.14021603686087664,0.36469382136209993,253,0.0070989337093692,,0.1273,(0.1402),FALSE
ECB Stmt -> EURUSD [fwd/curr],EURUSD,net_score_curr,B,-0.1444424165877606,0.22839508762133495,0.527697555998593,253,0.02839243579935546,,-0.1444,(0.2284),FALSE
