corpus,outcome,score,method,control,n,coef,se,t,p,stars,coef_print,se_print,r2,adj_r2,status,missing
FOMC statements,SP500,net_score,Dictionary,MP1,232,-0.09173459580476939,0.1470111118594005,-0.6239977008847002,0.5332501963547585,,-0.0917,(0.1470),0.05087904800469755,0.04258978204840669,ok,NA
FOMC statements,SP500,rf_score,Random Forest,MP1,226,0.036996064099222466,0.09297015983593405,0.3979348230067585,0.6910589133224263,,0.0370,(0.0930),0.05366741918866223,0.04518013146838118,ok,NA
FOMC statements,SP500,bert_score,RoBERTa/BERT,MP1,228,-0.11514702577625484,0.17680120023974422,-0.651279661111544,0.5155305910556433,,-0.1151,(0.1768),0.06306395965521173,0.05473563929659131,ok,NA
FOMC statements,EURUSD,net_score,Dictionary,MP1,230,0.05712415707086157,0.1005055068903403,0.5683684291368102,0.5703466377049978,,0.0571,(0.1005),0.06115324565965567,0.05288146808837502,ok,NA
FOMC statements,EURUSD,rf_score,Random Forest,MP1,224,-0.005656071385220266,0.04222109823523607,-0.13396315163824732,0.8935536256999008,,-0.0057,(0.0422),0.057634692266917344,0.049106499436753714,ok,NA
FOMC statements,EURUSD,bert_score,RoBERTa/BERT,MP1,226,-0.044271945327832,0.10219817016833142,-0.4331970450636379,0.6652903390453453,,-0.0443,(0.1022),0.05784248841834334,0.04939264526514464,ok,NA
FOMC statements,DXY,net_score,Dictionary,MP1,242,-0.05355580812758797,0.09282741150835488,-0.5769395834415538,0.5645232867359058,,-0.0536,(0.0928),0.09644312308405788,0.0888819776705354,ok,NA
FOMC statements,DXY,rf_score,Random Forest,MP1,235,0.0026854345615833415,0.038169781714636135,0.07035498870965816,0.9439717229038087,,0.0027,(0.0382),0.09352170276954876,0.08570723468997588,ok,NA
FOMC statements,DXY,bert_score,RoBERTa/BERT,MP1,237,0.04449688169691425,0.0922968414076073,0.4821062239866285,0.6301811118704725,,0.0445,(0.0923),0.10398375666245845,0.096325498172394,ok,NA
FOMC statements,UST2Y,net_score,Dictionary,MP1,242,0.010762023571314741,0.014576117815383587,0.7383326416281115,0.4610367158213827,,0.0108,(0.0146),0.19118125408607317,0.1844128963796805,ok,NA
FOMC statements,UST2Y,rf_score,Random Forest,MP1,235,0.016597090318680004,0.007635853435756237,2.1735737148857766,0.03074919893652153,**,0.0166**,(0.0076),0.20178383619595588,0.19490266237005893,ok,NA
FOMC statements,UST2Y,bert_score,RoBERTa/BERT,MP1,237,0.03756243633376862,0.01612322918265033,2.329709260362577,0.020673290267090975,**,0.0376**,(0.0161),0.2624528709005364,0.2561490492843017,ok,NA
FOMC statements,UST5Y,net_score,Dictionary,MP1,242,0.008138013984780468,0.014864448038805675,0.5474817472895778,0.5845586943703378,,0.0081,(0.0149),0.0751761488818334,0.06743703715699534,ok,NA
FOMC statements,UST5Y,rf_score,Random Forest,MP1,235,0.013355106054543625,0.007065123998099058,1.890286151826486,0.059966152843127785,*,0.0134*,(0.0071),0.08064425191863667,0.07271877133172844,ok,NA
FOMC statements,UST5Y,bert_score,RoBERTa/BERT,MP1,237,0.038542690084613355,0.0164831313673937,2.3383111634271767,0.020214402520735444,**,0.0385**,(0.0165),0.13754658126132135,0.13017518451996513,ok,NA
FOMC statements,UST10Y,net_score,Dictionary,MP1,242,0.0026862017879781147,0.01205464843451081,0.22283534875126562,0.8238539793996444,,0.0027,(0.0121),0.021868710804881435,0.013683511732119014,ok,NA
FOMC statements,UST10Y,rf_score,Random Forest,MP1,235,0.007580269387267905,0.005144971231240126,1.4733356216339393,0.1420160217460412,,0.0076,(0.0051),0.024523915926532393,0.01611463933969215,ok,NA
FOMC statements,UST10Y,bert_score,RoBERTa/BERT,MP1,237,0.02089351994909936,0.012852100655237026,1.6256891001383174,0.10536180801660965,,0.0209,(0.0129),0.055121269065981165,0.04704538247680157,ok,NA
FOMC statements,UST30Y,net_score,Dictionary,MP1,242,-0.002031793395611097,0.009455176964357125,-0.21488687131613537,0.830038766669305,,-0.0020,(0.0095),0.0020831730062792673,-0.006267595420446304,ok,NA
FOMC statements,UST30Y,rf_score,Random Forest,MP1,235,0.0014687678999068508,0.0039548213704834285,0.37138666005724347,0.7106884976206238,,0.0015,(0.0040),0.0029451726311257843,-0.005650127604812649,ok,NA
FOMC statements,UST30Y,bert_score,RoBERTa/BERT,MP1,237,0.007116428707944944,0.010769549749275827,0.6607916647976366,0.5093959443823443,,0.0071,(0.0108),0.0015504627778669805,-0.006983293950527214,ok,NA
FOMC statements,TIPS5Y,net_score,Dictionary,MP1,176,-0.0032148725712304992,0.019581467967215965,-0.16417934429701392,0.8697816200128142,,-0.0032,(0.0196),0.02998396916612866,0.018769911006199402,ok,NA
FOMC statements,TIPS5Y,rf_score,Random Forest,MP1,172,0.009702288775189806,0.009264238220212512,1.0472840339987766,0.29646409465543866,,0.0097,(0.0093),0.027995970340458275,0.016492964072297944,ok,NA
FOMC statements,TIPS5Y,bert_score,RoBERTa/BERT,MP1,174,0.029264163520487507,0.02234129370562251,1.309868797486994,0.19199720065971335,,0.0293,(0.0223),0.09537180090049123,0.08479135412739747,ok,NA
FOMC statements,TIPS10Y,net_score,Dictionary,MP1,176,0.0017001974085913117,0.01489283749573165,0.11416208691450475,0.9092416880738037,,0.0017,(0.0149),0.018247526956187966,0.006897787383426945,ok,NA
FOMC statements,TIPS10Y,rf_score,Random Forest,MP1,172,0.008269885448983359,0.006540432674334905,1.264424826423937,0.20781859002831135,,0.0083,(0.0065),0.02041349736197635,0.008820757685786718,ok,NA
FOMC statements,TIPS10Y,bert_score,RoBERTa/BERT,MP1,174,0.020134323231475883,0.01603998897674627,1.2552579219764624,0.21109781936168912,,0.0201,(0.0160),0.04806129295276294,0.03692750690542679,ok,NA
FOMC press conferences,SP500,net_score,Dictionary,MP1,91,0.5918416565421272,0.43118701465040704,1.3725869203690513,0.17336894815712764,,0.5918,(0.4312),0.04561210809763735,0.023921474190765513,ok,NA
FOMC press conferences,SP500,rf_score,Random Forest,MP1,91,0.2881108240101317,0.21808420200711148,1.3210990129433435,0.1898932669538,,0.2881,(0.2181),0.02229149979529918,7.085206337420491e-5,ok,NA
FOMC press conferences,SP500,bert_score,RoBERTa/BERT,MP1,91,-0.2777744674533435,0.6873212911410348,-0.4041406414054262,0.6870898117294009,,-0.2778,(0.6873),0.00944126037025567,-0.01307143825769308,ok,NA
