label,outcome,score_term,fe_spec,estimate,se,pvalue,n,r2,stars,coef_print,se_print
ECB Stmt -> IT10Y_spread [fwd/curr],IT10Y_spread,net_score_fwd,B,4.18020469700264,2.304283595831971,0.07098817003860781,233,0.10368384009260224,*,4.1802*,(2.3043)
ECB Stmt -> IT10Y_spread [fwd/curr],IT10Y_spread,net_score_curr,C,-6.429149148200515,3.615108251406861,0.07669269450391962,233,0.10780646477603184,*,-6.4291*,(3.6151)
ECB Stmt -> SX7E [fwd/curr],SX7E,net_score_curr,C,1.2674097549807737,0.7207267937819022,0.07991333446393481,253,0.12297483708389112,*,1.2674*,(0.7207)
ECB Stmt -> SX7E [fwd/curr],SX7E,net_score_curr,B,1.3100218673043773,0.7480871929200268,0.0811643590394769,253,0.10357733956027926,*,1.3100*,(0.7481)
ECB PC -> DE10Y [fwd/curr],DE10Y,net_score_curr,B,-1.4362953553251832,0.8302548072544645,0.08494743275697236,243,0.02317682864489612,*,-1.4363*,(0.8303)
FOMC Stmt -> SP500 [fwd/curr],SP500,net_score_fwd,A,-0.3026812315143602,0.17657875208964485,0.08786144719149935,232,0.05425023484380997,*,-0.3027*,(0.1766)
FOMC PC -> UST2Y [fwd/curr],UST2Y,net_score_fwd,B,-0.06226206177017285,0.03685310412461296,0.09479517177113,91,0.07923164914381742,*,-0.0623*,(0.0369)
FOMC PC -> UST2Y [fwd/curr],UST2Y,net_score_fwd,A,-0.05882980040102977,0.03486289128208649,0.09509685110771075,91,0.06896109550859297,*,-0.0588*,(0.0349)
ECB Stmt -> SX7E [fwd/curr],SX7E,net_score_curr,A,1.2254023205812474,0.735576921846098,0.0969895543376888,253,0.08958048226939364,*,1.2254*,(0.7356)
FOMC PC -> UST2Y [fwd/curr],UST2Y,net_score_fwd,C,-0.06282602968647773,0.03747719868562967,0.09738197977859224,91,0.07969740627450606,*,-0.0628*,(0.0375)
