corpus,term_original,signed_importance,direction_label,MeanDecreaseGini,direction
fomc_stmt,dudley vice,7.379839780558461,hawkish,7.379839780558461,0.00118860995668365
fomc_stmt,releas inform,6.161704404091081,hawkish,6.161704404091081,1.937111283062142e-4
fomc_stmt,waller vote,-3.66465381083687,dovish,3.66465381083687,-0.00410233696374266
fomc_stmt,rate unchang,1.1253472363658945,hawkish,1.1253472363658945,0
fomc_pc,rate unchang,4.2835303293676565,hawkish,4.2835303293676565,0
ecb_stmt,govern council,-22.307217768672704,dovish,22.307217768672704,-5.020483025871981e-4
ecb_stmt,bank ecb,-1.9597960531682252,dovish,1.9597960531682252,-0.0060667313507133
ecb_stmt,rate unchang,1.0623843786787956,hawkish,1.0623843786787956,0
ecb_pc,rate unchang,-47.17968674782913,dovish,47.17968674782913,-3.2092143566875846e-5
