corpus,central_bank,document_type,meeting_date,event_id,source,is_scheduled,is_fomc_intermeeting
ECB Press Conference,ECB,Press Conference,2003-11-06,ecb_pressconf_20031106,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2003-12-04,ecb_pressconf_20031204,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2004-01-08,ecb_pressconf_20040108,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2004-02-05,ecb_pressconf_20040205,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2004-03-04,ecb_pressconf_20040304,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2004-04-01,ecb_pressconf_20040401,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2004-05-06,ecb_pressconf_20040506,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2004-06-03,ecb_pressconf_20040603,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2004-07-01,ecb_pressconf_20040701,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2004-09-02,ecb_pressconf_20040902,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2004-10-07,ecb_pressconf_20041007,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2004-11-04,ecb_pressconf_20041104,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2004-12-02,ecb_pressconf_20041202,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2005-01-13,ecb_pressconf_20050113,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2005-01-20,ecb_pressconf_20050120,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2005-02-03,ecb_pressconf_20050203,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2005-03-03,ecb_pressconf_20050303,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2005-04-07,ecb_pressconf_20050407,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2005-06-02,ecb_pressconf_20050602,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2005-07-07,ecb_pressconf_20050707,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2005-09-01,ecb_pressconf_20050901,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2005-10-06,ecb_pressconf_20051006,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2005-11-03,ecb_pressconf_20051103,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2005-12-01,ecb_pressconf_20051201,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2006-01-12,ecb_pressconf_20060112,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2006-02-02,ecb_pressconf_20060202,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2006-03-02,ecb_pressconf_20060302,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2006-04-06,ecb_pressconf_20060406,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2006-05-04,ecb_pressconf_20060504,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2006-06-08,ecb_pressconf_20060608,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2006-07-06,ecb_pressconf_20060706,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2006-08-03,ecb_pressconf_20060803,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2006-08-31,ecb_pressconf_20060831,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2006-10-05,ecb_pressconf_20061005,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2006-11-02,ecb_pressconf_20061102,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2006-12-07,ecb_pressconf_20061207,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2007-01-11,ecb_pressconf_20070111,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2007-02-08,ecb_pressconf_20070208,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2007-03-08,ecb_pressconf_20070308,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2007-04-12,ecb_pressconf_20070412,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2007-05-10,ecb_pressconf_20070510,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2007-07-05,ecb_pressconf_20070705,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2007-08-02,ecb_pressconf_20070802,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2007-09-06,ecb_pressconf_20070906,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2007-10-04,ecb_pressconf_20071004,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2007-11-08,ecb_pressconf_20071108,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2007-12-06,ecb_pressconf_20071206,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2008-01-10,ecb_pressconf_20080110,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2008-02-07,ecb_pressconf_20080207,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2008-03-06,ecb_pressconf_20080306,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2008-04-10,ecb_pressconf_20080410,ecb_press_conferences,TRUE,FALSE
