corpus_long,meeting_date,net_score_fwd,net_score_curr,rate_label
FOMC statements,2007-09-18,0,-0.07692307692307693,dovish
FOMC statements,2007-10-31,0.09090909090909093,-0.0588235294117647,dovish
FOMC statements,2007-12-11,0,-0.125,dovish
FOMC statements,2008-01-22,-0.16666666666666666,-0.375,dovish
FOMC statements,2008-01-30,0,-0.3333333333333333,dovish
FOMC statements,2008-03-11,0,0,NA
FOMC statements,2008-03-18,0,-0.2,dovish
FOMC statements,2008-04-30,0,-0.14285714285714285,dovish
FOMC statements,2008-06-25,0,-0.06666666666666667,neutral
FOMC statements,2008-08-05,0,-0.06666666666666667,neutral
FOMC statements,2008-09-16,0,-0.06666666666666667,neutral
FOMC statements,2008-10-08,0.07692307692307693,-0.1111111111111111,dovish
FOMC statements,2008-10-29,-0.09090909090909093,-0.375,dovish
FOMC statements,2008-12-16,0,0,dovish
FOMC statements,2009-01-28,-0.2307692307692308,0,neutral
FOMC statements,2009-03-18,-0.16666666666666666,-0.09090909090909093,neutral
FOMC statements,2009-04-29,-0.16666666666666666,-0.09090909090909093,neutral
FOMC statements,2009-06-24,-0.07692307692307693,-0.09090909090909093,neutral
FOMC statements,2009-08-12,-0.07692307692307693,-0.09090909090909093,neutral
FOMC statements,2009-09-23,-0.07692307692307693,-0.16666666666666666,neutral
FOMC statements,2009-11-04,-0.14285714285714285,-0.16666666666666666,neutral
FOMC statements,2009-12-16,-0.14285714285714285,-0.16666666666666666,neutral
FOMC statements,2010-01-27,-0.07692307692307693,-0.16666666666666666,neutral
FOMC statements,2010-03-16,-0.07692307692307693,-0.2307692307692308,neutral
FOMC statements,2010-04-28,-0.06666666666666667,-0.16666666666666666,neutral
FOMC statements,2010-06-23,-0.06666666666666667,-0.07692307692307693,neutral
FOMC statements,2010-08-10,-0.125,-0.16666666666666666,neutral
FOMC statements,2010-09-21,-0.17647058823529413,-0.07692307692307693,neutral
FOMC statements,2010-11-03,-0.4117647058823529,0.07692307692307693,neutral
FOMC statements,2010-12-14,-0.4117647058823529,0.14285714285714285,neutral
FOMC statements,2011-01-26,-0.375,0.14285714285714285,neutral
FOMC statements,2011-03-15,-0.375,0.3333333333333333,neutral
FOMC statements,2011-04-27,-0.2857142857142857,0.3333333333333333,neutral
FOMC statements,2011-06-22,-0.2307692307692308,0.16666666666666666,neutral
FOMC statements,2011-08-09,-0.2857142857142857,0,neutral
FOMC statements,2011-09-21,-0.16666666666666666,-0.14285714285714285,neutral
FOMC statements,2011-11-02,-0.09090909090909093,-0.06666666666666667,neutral
FOMC statements,2011-12-13,-0.09090909090909093,-0.16666666666666666,neutral
FOMC statements,2012-01-25,-0.09090909090909093,-0.2307692307692308,neutral
FOMC statements,2012-03-13,-0.09090909090909093,-0.2307692307692308,neutral
FOMC statements,2012-04-25,-0.09090909090909093,-0.14285714285714285,neutral
FOMC statements,2012-06-20,-0.09090909090909093,-0.375,neutral
FOMC statements,2012-08-01,0,-0.375,neutral
FOMC statements,2012-09-13,-0.3333333333333333,-0.07692307692307693,neutral
FOMC statements,2012-10-24,-0.4,0,neutral
FOMC statements,2012-12-12,-0.5,0.07692307692307693,neutral
FOMC statements,2013-01-30,-0.4782608695652174,0,neutral
FOMC statements,2013-03-20,-0.4782608695652174,0.07692307692307693,neutral
FOMC statements,2013-05-01,-0.5,0,neutral
FOMC statements,2013-06-19,-0.5,-0.07692307692307693,neutral
FOMC statements,2013-07-31,-0.5,0,neutral
FOMC statements,2013-09-18,-0.52,-0.14285714285714285,neutral
FOMC statements,2013-10-30,-0.5,-0.06666666666666667,neutral
FOMC statements,2013-12-18,-0.4074074074074074,-0.14285714285714285,neutral
FOMC statements,2014-01-29,-0.4782608695652174,-0.14285714285714285,neutral
FOMC statements,2014-03-19,-0.42857142857142855,-0.0588235294117647,neutral
FOMC statements,2014-04-30,-0.42857142857142855,-0.14285714285714285,neutral
FOMC statements,2014-06-18,-0.42857142857142855,-0.14285714285714285,neutral
FOMC statements,2014-07-30,-0.4166666666666667,-0.2307692307692308,neutral
FOMC statements,2014-09-17,-0.4615384615384616,-0.14285714285714285,neutral
FOMC statements,2014-10-29,-0.42857142857142855,-0.14285714285714285,neutral
FOMC statements,2014-12-17,-0.4117647058823529,-0.14285714285714285,neutral
FOMC statements,2015-01-28,-0.16666666666666666,0,neutral
FOMC statements,2015-03-18,0,-0.14285714285714285,neutral
FOMC statements,2015-04-29,0,-0.14285714285714285,neutral
FOMC statements,2015-06-17,0,0,neutral
FOMC statements,2015-07-29,0,0,neutral
FOMC statements,2015-09-17,0,0.07692307692307693,neutral
FOMC statements,2015-10-28,0.125,0.07692307692307693,neutral
FOMC statements,2015-12-16,0.14285714285714285,0,hawkish
FOMC statements,2016-01-27,0,-0.07692307692307693,neutral
FOMC statements,2016-03-16,-0.09090909090909093,0.07692307692307693,neutral
FOMC statements,2016-04-27,0,0.07692307692307693,neutral
FOMC statements,2016-06-15,0,0,neutral
FOMC statements,2016-07-27,0,0,neutral
FOMC statements,2016-09-21,0,0.07692307692307693,neutral
FOMC statements,2016-11-02,0,0.07692307692307693,neutral
FOMC statements,2016-12-14,0.14285714285714285,0,hawkish
FOMC statements,2017-02-01,0,0.07692307692307693,neutral
FOMC statements,2017-03-15,0.14285714285714285,0.07692307692307693,hawkish
FOMC statements,2017-05-03,0,0,neutral
FOMC statements,2017-06-14,0.16666666666666666,-0.0588235294117647,hawkish
FOMC statements,2017-07-26,0.09090909090909093,0,neutral
FOMC statements,2017-09-20,0.16666666666666666,0,neutral
FOMC statements,2017-11-01,0,0,neutral
FOMC statements,2017-12-13,0.16666666666666666,0.07692307692307693,hawkish
FOMC statements,2018-01-31,0,0,neutral
FOMC statements,2018-03-21,0.16666666666666666,0.07692307692307693,hawkish
FOMC statements,2018-05-02,0,0.07692307692307693,neutral
FOMC statements,2018-06-13,0.2307692307692308,0.07692307692307693,hawkish
FOMC statements,2018-08-01,0.09090909090909093,0.07692307692307693,neutral
FOMC statements,2018-09-26,0.2307692307692308,0.09090909090909093,hawkish
FOMC statements,2018-11-08,0.09090909090909093,0.09090909090909093,neutral
FOMC statements,2018-12-19,0.2307692307692308,0.09090909090909093,hawkish
FOMC statements,2019-01-30,-0.09090909090909093,0.16666666666666666,neutral
FOMC statements,2019-03-20,-0.09090909090909093,0.06666666666666667,neutral
FOMC statements,2019-05-01,-0.09090909090909093,0.14285714285714285,neutral
FOMC statements,2019-06-19,0.14285714285714285,0.07692307692307693,neutral
FOMC statements,2019-07-31,-0.06666666666666667,0.16666666666666666,dovish
FOMC statements,2019-09-18,-0.06666666666666667,0.14285714285714285,dovish
FOMC statements,2019-10-30,-0.14285714285714285,0.2307692307692308,dovish
FOMC statements,2019-12-11,0,0.2307692307692308,neutral
FOMC statements,2020-01-29,0,0.16666666666666666,neutral
FOMC statements,2020-03-03,0,-0.09090909090909093,dovish
FOMC statements,2020-03-15,-0.06666666666666667,-0.07692307692307693,dovish
FOMC statements,2020-03-23,0.09090909090909093,-0.09090909090909093,NA
FOMC statements,2020-04-29,-0.07692307692307693,-0.2307692307692308,neutral
FOMC statements,2020-06-10,-0.07692307692307693,-0.2857142857142857,neutral
FOMC statements,2020-07-29,-0.07692307692307693,-0.2307692307692308,neutral
FOMC statements,2020-09-16,0.07692307692307693,-0.2307692307692308,neutral
FOMC statements,2020-11-05,0,-0.2857142857142857,neutral
FOMC statements,2020-12-16,-0.07692307692307693,-0.3333333333333333,neutral
FOMC statements,2021-01-27,-0.07692307692307693,-0.3333333333333333,neutral
FOMC statements,2021-03-17,-0.07692307692307693,-0.2857142857142857,neutral
FOMC statements,2021-04-28,-0.07692307692307693,-0.3333333333333333,neutral
FOMC statements,2021-06-16,-0.07692307692307693,-0.3333333333333333,neutral
FOMC statements,2021-07-28,0,-0.375,neutral
FOMC statements,2021-09-22,-0.07692307692307693,-0.29411764705882354,neutral
FOMC statements,2021-11-03,0,-0.3333333333333333,neutral
FOMC statements,2021-12-15,-0.07692307692307693,-0.25,neutral
FOMC statements,2022-01-26,0.2857142857142857,-0.2,neutral
