corpus_long,meeting_date,rate_label,net_score,comparison_score,other_score,comparison
FOMC statements,2000-08-22,neutral,0.09090909090909093,bert_score,0,Dictionary vs RoBERTa/BERT
FOMC statements,2000-10-03,neutral,0.09090909090909093,rf_score,-0.2804859048488275,Dictionary vs Random Forest
FOMC statements,2000-10-03,neutral,0.09090909090909093,bert_score,-0.14285714285714285,Dictionary vs RoBERTa/BERT
FOMC statements,2000-11-15,neutral,0,rf_score,-0.49584192987781983,Dictionary vs Random Forest
FOMC statements,2000-11-15,neutral,0,bert_score,0,Dictionary vs RoBERTa/BERT
FOMC statements,2000-12-19,neutral,-0.16666666666666666,rf_score,-0.6545239712053446,Dictionary vs Random Forest
FOMC statements,2000-12-19,neutral,-0.16666666666666666,bert_score,-0.2307692307692308,Dictionary vs RoBERTa/BERT
FOMC statements,2001-01-03,dovish,-0.2857142857142857,rf_score,-0.9283757716049384,Dictionary vs Random Forest
FOMC statements,2001-01-03,dovish,-0.2857142857142857,bert_score,-0.375,Dictionary vs RoBERTa/BERT
FOMC statements,2001-01-31,dovish,-0.375,rf_score,-0.8019982210771687,Dictionary vs Random Forest
FOMC statements,2001-01-31,dovish,-0.375,bert_score,-0.3333333333333333,Dictionary vs RoBERTa/BERT
FOMC statements,2001-03-20,dovish,-0.3333333333333333,rf_score,-0.5375939849624062,Dictionary vs Random Forest
FOMC statements,2001-03-20,dovish,-0.3333333333333333,bert_score,-0.375,Dictionary vs RoBERTa/BERT
FOMC statements,2001-04-18,dovish,-0.25,rf_score,-0.921925925925926,Dictionary vs Random Forest
FOMC statements,2001-04-18,dovish,-0.25,bert_score,-0.29411764705882354,Dictionary vs RoBERTa/BERT
FOMC statements,2001-05-15,dovish,-0.3333333333333333,rf_score,-0.8678571428571429,Dictionary vs Random Forest
FOMC statements,2001-05-15,dovish,-0.3333333333333333,bert_score,-0.3333333333333333,Dictionary vs RoBERTa/BERT
FOMC statements,2001-06-27,dovish,-0.3333333333333333,rf_score,-0.9614583333333332,Dictionary vs Random Forest
FOMC statements,2001-06-27,dovish,-0.3333333333333333,bert_score,-0.375,Dictionary vs RoBERTa/BERT
FOMC statements,2001-08-21,dovish,-0.3333333333333333,rf_score,-0.9748960695389268,Dictionary vs Random Forest
FOMC statements,2001-08-21,dovish,-0.3333333333333333,bert_score,-0.375,Dictionary vs RoBERTa/BERT
FOMC statements,2001-09-17,dovish,-0.3333333333333333,rf_score,-0.6049023998242749,Dictionary vs Random Forest
FOMC statements,2001-09-17,dovish,-0.3333333333333333,bert_score,-0.375,Dictionary vs RoBERTa/BERT
FOMC statements,2001-10-02,dovish,-0.3333333333333333,rf_score,-0.978095238095238,Dictionary vs Random Forest
FOMC statements,2001-10-02,dovish,-0.3333333333333333,bert_score,-0.375,Dictionary vs RoBERTa/BERT
FOMC statements,2001-11-06,dovish,-0.3333333333333333,rf_score,-0.9689198467595208,Dictionary vs Random Forest
FOMC statements,2001-11-06,dovish,-0.3333333333333333,bert_score,-0.3333333333333333,Dictionary vs RoBERTa/BERT
FOMC statements,2001-12-11,dovish,-0.25,rf_score,-0.9867472680771912,Dictionary vs Random Forest
FOMC statements,2001-12-11,dovish,-0.25,bert_score,-0.375,Dictionary vs RoBERTa/BERT
FOMC statements,2002-01-30,neutral,-0.2857142857142857,rf_score,-0.5476376737133416,Dictionary vs Random Forest
FOMC statements,2002-01-30,neutral,-0.2857142857142857,bert_score,-0.07692307692307693,Dictionary vs RoBERTa/BERT
FOMC statements,2002-03-19,neutral,0.09090909090909093,rf_score,-0.08727935717621624,Dictionary vs Random Forest
FOMC statements,2002-03-19,neutral,0.09090909090909093,bert_score,0.09090909090909093,Dictionary vs RoBERTa/BERT
FOMC statements,2002-05-07,neutral,0.09090909090909093,rf_score,0.04744370992966335,Dictionary vs Random Forest
FOMC statements,2002-05-07,neutral,0.09090909090909093,bert_score,0.09090909090909093,Dictionary vs RoBERTa/BERT
FOMC statements,2002-06-26,neutral,0.09090909090909093,rf_score,-0.10906875956054853,Dictionary vs Random Forest
FOMC statements,2002-06-26,neutral,0.09090909090909093,bert_score,0,Dictionary vs RoBERTa/BERT
FOMC statements,2002-08-13,neutral,-0.2857142857142857,rf_score,-0.2767449880807517,Dictionary vs Random Forest
FOMC statements,2002-08-13,neutral,-0.2857142857142857,bert_score,-0.2307692307692308,Dictionary vs RoBERTa/BERT
FOMC statements,2002-09-24,neutral,-0.2857142857142857,rf_score,-0.463044082710986,Dictionary vs Random Forest
FOMC statements,2002-09-24,neutral,-0.2857142857142857,bert_score,-0.2857142857142857,Dictionary vs RoBERTa/BERT
FOMC statements,2002-11-06,dovish,-0.375,rf_score,-0.20447196422428615,Dictionary vs Random Forest
FOMC statements,2002-11-06,dovish,-0.375,bert_score,-0.375,Dictionary vs RoBERTa/BERT
FOMC statements,2002-12-10,neutral,-0.16666666666666666,rf_score,-0.11111973354079788,Dictionary vs Random Forest
FOMC statements,2002-12-10,neutral,-0.16666666666666666,bert_score,-0.09090909090909093,Dictionary vs RoBERTa/BERT
FOMC statements,2003-01-29,neutral,-0.16666666666666666,rf_score,-0.10709886460679267,Dictionary vs Random Forest
FOMC statements,2003-01-29,neutral,-0.16666666666666666,bert_score,-0.16666666666666666,Dictionary vs RoBERTa/BERT
FOMC statements,2003-03-18,neutral,-0.07692307692307693,rf_score,-0.0722555791260269,Dictionary vs Random Forest
FOMC statements,2003-03-18,neutral,-0.07692307692307693,bert_score,-0.2,Dictionary vs RoBERTa/BERT
FOMC statements,2003-05-06,neutral,-0.2857142857142857,rf_score,-0.12812955307058807,Dictionary vs Random Forest
FOMC statements,2003-05-06,neutral,-0.2857142857142857,bert_score,-0.3333333333333333,Dictionary vs RoBERTa/BERT
FOMC statements,2003-06-25,dovish,-0.3684210526315789,rf_score,-0.5496945530761956,Dictionary vs Random Forest
FOMC statements,2003-06-25,dovish,-0.3684210526315789,bert_score,-0.17647058823529413,Dictionary vs RoBERTa/BERT
FOMC statements,2003-08-12,neutral,-0.17647058823529413,rf_score,0.0018680947252555,Dictionary vs Random Forest
FOMC statements,2003-08-12,neutral,-0.17647058823529413,bert_score,-0.2857142857142857,Dictionary vs RoBERTa/BERT
FOMC statements,2003-09-16,neutral,-0.17647058823529413,rf_score,-0.04290532320780979,Dictionary vs Random Forest
FOMC statements,2003-09-16,neutral,-0.17647058823529413,bert_score,-0.2,Dictionary vs RoBERTa/BERT
FOMC statements,2003-10-28,neutral,-0.17647058823529413,rf_score,-0.03154242068228435,Dictionary vs Random Forest
FOMC statements,2003-10-28,neutral,-0.17647058823529413,bert_score,-0.2,Dictionary vs RoBERTa/BERT
FOMC statements,2003-12-09,neutral,-0.25,rf_score,-0.02901033736803962,Dictionary vs Random Forest
FOMC statements,2003-12-09,neutral,-0.25,bert_score,-0.14285714285714285,Dictionary vs RoBERTa/BERT
FOMC statements,2004-01-28,neutral,-0.25,rf_score,-0.08149272652607252,Dictionary vs Random Forest
FOMC statements,2004-01-28,neutral,-0.25,bert_score,-0.14285714285714285,Dictionary vs RoBERTa/BERT
FOMC statements,2004-03-16,neutral,-0.15789473684210523,rf_score,-0.07057694092275539,Dictionary vs Random Forest
FOMC statements,2004-03-16,neutral,-0.15789473684210523,bert_score,-0.14285714285714285,Dictionary vs RoBERTa/BERT
FOMC statements,2004-05-04,neutral,-0.2,rf_score,-0.16777139403323052,Dictionary vs Random Forest
FOMC statements,2004-05-04,neutral,-0.2,bert_score,0,Dictionary vs RoBERTa/BERT
FOMC statements,2004-06-30,hawkish,0.04761904761904761,rf_score,0.8086333177497272,Dictionary vs Random Forest
FOMC statements,2004-06-30,hawkish,0.04761904761904761,bert_score,0.14285714285714285,Dictionary vs RoBERTa/BERT
FOMC statements,2004-08-10,hawkish,0,rf_score,0.9982608695652172,Dictionary vs Random Forest
FOMC statements,2004-08-10,hawkish,0,bert_score,0,Dictionary vs RoBERTa/BERT
FOMC statements,2004-09-21,hawkish,0,rf_score,0.9979296066252588,Dictionary vs Random Forest
FOMC statements,2004-09-21,hawkish,0,bert_score,0,Dictionary vs RoBERTa/BERT
FOMC statements,2004-11-10,hawkish,0,rf_score,0.9981060606060606,Dictionary vs Random Forest
FOMC statements,2004-11-10,hawkish,0,bert_score,0,Dictionary vs RoBERTa/BERT
FOMC statements,2004-12-14,hawkish,0,rf_score,0.997835497835498,Dictionary vs Random Forest
FOMC statements,2004-12-14,hawkish,0,bert_score,0,Dictionary vs RoBERTa/BERT
FOMC statements,2005-02-02,hawkish,0,rf_score,0.9980237154150196,Dictionary vs Random Forest
FOMC statements,2005-02-02,hawkish,0,bert_score,0,Dictionary vs RoBERTa/BERT
FOMC statements,2005-03-22,hawkish,0.1,rf_score,0.9944416996047432,Dictionary vs Random Forest
FOMC statements,2005-03-22,hawkish,0.1,bert_score,0.07692307692307693,Dictionary vs RoBERTa/BERT
FOMC statements,2005-05-03,hawkish,0.04761904761904761,rf_score,1,Dictionary vs Random Forest
FOMC statements,2005-05-03,hawkish,0.04761904761904761,bert_score,-0.0588235294117647,Dictionary vs RoBERTa/BERT
FOMC statements,2005-06-30,hawkish,0,rf_score,0.9953463203463204,Dictionary vs Random Forest
FOMC statements,2005-06-30,hawkish,0,bert_score,0.07692307692307693,Dictionary vs RoBERTa/BERT
FOMC statements,2005-08-09,hawkish,0.05263157894736842,rf_score,1,Dictionary vs Random Forest
FOMC statements,2005-08-09,hawkish,0.05263157894736842,bert_score,0,Dictionary vs RoBERTa/BERT
