term,estimate,se,pvalue,ci_low,ci_high,n,r2,corpus_long,outcome,maturity,control
net_score,0.010762023571314741,0.014576117815383587,0.4610367158213827,-0.01780716734683709,0.03933121448946657,242,0.19118125408607317,FOMC statements,UST2Y,2,MP1
net_score,0.008138013984780468,0.014864448038805675,0.5845586943703378,-0.020996304171278655,0.037272332140839595,242,0.0751761488818334,FOMC statements,UST5Y,5,MP1
net_score,0.0026862017879781147,0.01205464843451081,0.8238539793996444,-0.02094090914366307,0.026313312719619304,242,0.021868710804881435,FOMC statements,UST10Y,10,MP1
net_score,-0.002031793395611097,0.009455176964357125,0.830038766669305,-0.02056394024575106,0.016500353454528868,242,0.0020831730062792673,FOMC statements,UST30Y,30,MP1
net_score,-0.020850326246236298,0.01964226263713651,0.2913658079056288,-0.059349161015023855,0.01764850852255126,91,0.02949028033281208,FOMC press conferences,UST2Y,2,MP1
net_score,-0.006715995842465234,0.0231810229288705,0.772712320421042,-0.05215080078305141,0.03871880909812095,91,0.001966930398851449,FOMC press conferences,UST5Y,5,MP1
net_score,0.0012383877751099097,0.01840295150214803,0.9465011949877061,-0.03483139716910023,0.03730817271932004,91,0.0011688976762559958,FOMC press conferences,UST10Y,10,MP1
net_score,-1.455044783179433e-4,0.00867402601086318,0.9866543006134427,-0.017146595459609774,0.01685558650297389,91,0.014166965187965072,FOMC press conferences,UST30Y,30,MP1
net_score,-1.0554665291403078,1.0093013939273614,0.29799474639771095,-3.0336972612379363,0.9227642029573204,112,0.023387149275847396,ECB statements,OIS_5Y,5,OIS_MP1
net_score,-0.6497242597012072,0.7540568450651354,0.39076100036819916,-2.1276756760288724,0.8282271566264581,113,0.01584009337960171,ECB statements,OIS_10Y,10,OIS_MP1
net_score,-0.8159642411444529,1.5664335551476798,0.6035726164409204,-3.886174009233905,2.2542455269449992,104,0.09946211466043567,ECB press conferences,OIS_5Y,5,OIS_MP1
net_score,-0.6996533163543085,1.2421878269561453,0.5745056637945449,-3.1343414571883534,1.7350348244797362,105,0.02332532278690318,ECB press conferences,OIS_10Y,10,OIS_MP1
