corpus_key,corpus_long,bank,document_type,meeting_date,score_name,score,method,score_z
fomc_stmt,FOMC statements,FOMC,statement,1999-05-18,rf_score,0.02512784100389392,Random Forest,0.03134978212332567
fomc_stmt,FOMC statements,FOMC,statement,1999-05-18,bert_score,-0.14285714285714285,RoBERTa/BERT,-0.1407540756261586
fomc_stmt,FOMC statements,FOMC,statement,1999-06-30,net_score,0.09090909090909093,Dictionary,0.5960091686001892
fomc_stmt,FOMC statements,FOMC,statement,1999-06-30,rf_score,-0.0503494955404179,Random Forest,-0.1271523475268527
fomc_stmt,FOMC statements,FOMC,statement,1999-06-30,bert_score,0.09090909090909093,RoBERTa/BERT,0.9488114205346354
fomc_stmt,FOMC statements,FOMC,statement,1999-08-24,net_score,0.06666666666666667,Dictionary,0.4918353326000616
fomc_stmt,FOMC statements,FOMC,statement,1999-08-24,rf_score,-0.5028273809523811,Random Forest,-1.0773542457522938
fomc_stmt,FOMC statements,FOMC,statement,1999-08-24,bert_score,0.09090909090909093,RoBERTa/BERT,0.9488114205346354
fomc_stmt,FOMC statements,FOMC,statement,1999-10-05,net_score,0,Dictionary,0.2053572835997109
fomc_stmt,FOMC statements,FOMC,statement,1999-10-05,rf_score,-0.3991756814658068,Random Forest,-0.859686057357264
fomc_stmt,FOMC statements,FOMC,statement,1999-10-05,bert_score,0.2307692307692308,RoBERTa/BERT,1.6006882131094695
fomc_stmt,FOMC statements,FOMC,statement,1999-11-16,net_score,0.2857142857142857,Dictionary,1.433120350744071
fomc_stmt,FOMC statements,FOMC,statement,1999-11-16,rf_score,0.3242533124360856,Random Forest,0.6595121739796009
fomc_stmt,FOMC statements,FOMC,statement,1999-11-16,bert_score,0.14285714285714285,RoBERTa/BERT,1.190937086348145
fomc_stmt,FOMC statements,FOMC,statement,1999-12-21,net_score,0.09090909090909093,Dictionary,0.5960091686001892
fomc_stmt,FOMC statements,FOMC,statement,1999-12-21,rf_score,-0.6345330111557129,Random Forest,-1.353935585660746
fomc_stmt,FOMC statements,FOMC,statement,1999-12-21,bert_score,-0.2307692307692308,RoBERTa/BERT,-0.550505202387483
fomc_stmt,FOMC statements,FOMC,statement,2000-02-02,net_score,0.2307692307692308,Dictionary,1.1970120686009251
fomc_stmt,FOMC statements,FOMC,statement,2000-02-02,rf_score,0.6388888888888888,Random Forest,1.3202457294383645
fomc_stmt,FOMC statements,FOMC,statement,2000-02-02,bert_score,0.14285714285714285,RoBERTa/BERT,1.190937086348145
fomc_stmt,FOMC statements,FOMC,statement,2000-03-21,net_score,0.2307692307692308,Dictionary,1.1970120686009251
fomc_stmt,FOMC statements,FOMC,statement,2000-03-21,rf_score,0.44666666666666666,Random Forest,0.916579768459139
fomc_stmt,FOMC statements,FOMC,statement,2000-03-21,bert_score,0.2857142857142857,RoBERTa/BERT,1.8567826673352967
fomc_stmt,FOMC statements,FOMC,statement,2000-05-16,net_score,0.16666666666666666,Dictionary,0.9215524061005878
fomc_stmt,FOMC statements,FOMC,statement,2000-05-16,rf_score,0.419607843137255,Random Forest,0.8597563383858992
fomc_stmt,FOMC statements,FOMC,statement,2000-05-16,bert_score,0.3333333333333333,RoBERTa/BERT,2.078731194331014
fomc_stmt,FOMC statements,FOMC,statement,2000-06-28,net_score,0.09090909090909093,Dictionary,0.5960091686001892
fomc_stmt,FOMC statements,FOMC,statement,2000-06-28,rf_score,-0.2809400261994082,Random Forest,-0.6113916153653143
fomc_stmt,FOMC statements,FOMC,statement,2000-06-28,bert_score,-0.07692307692307693,RoBERTa/BERT,0.16655926944483448
fomc_stmt,FOMC statements,FOMC,statement,2000-08-22,net_score,0.09090909090909093,Dictionary,0.5960091686001892
fomc_stmt,FOMC statements,FOMC,statement,2000-08-22,rf_score,-0.2489289747007087,Random Forest,-0.5441685247372205
fomc_stmt,FOMC statements,FOMC,statement,2000-08-22,bert_score,0,RoBERTa/BERT,0.5250915053609932
fomc_stmt,FOMC statements,FOMC,statement,2000-10-03,net_score,0.09090909090909093,Dictionary,0.5960091686001892
fomc_stmt,FOMC statements,FOMC,statement,2000-10-03,rf_score,-0.2804859048488275,Random Forest,-0.6104379621962679
fomc_stmt,FOMC statements,FOMC,statement,2000-10-03,bert_score,-0.14285714285714285,RoBERTa/BERT,-0.1407540756261586
fomc_stmt,FOMC statements,FOMC,statement,2000-11-15,net_score,0,Dictionary,0.2053572835997109
fomc_stmt,FOMC statements,FOMC,statement,2000-11-15,rf_score,-0.49584192987781983,Random Forest,-1.0626848241407474
fomc_stmt,FOMC statements,FOMC,statement,2000-11-15,bert_score,0,RoBERTa/BERT,0.5250915053609932
fomc_stmt,FOMC statements,FOMC,statement,2000-12-19,net_score,-0.16666666666666666,Dictionary,-0.510837838901166
fomc_stmt,FOMC statements,FOMC,statement,2000-12-19,rf_score,-0.6545239712053446,Random Forest,-1.3959165283740331
fomc_stmt,FOMC statements,FOMC,statement,2000-12-19,bert_score,-0.2307692307692308,RoBERTa/BERT,-0.550505202387483
fomc_stmt,FOMC statements,FOMC,statement,2001-01-03,net_score,-0.2857142857142857,Dictionary,-1.0224057835446494
fomc_stmt,FOMC statements,FOMC,statement,2001-01-03,rf_score,-0.9283757716049384,Random Forest,-1.9710043038467144
fomc_stmt,FOMC statements,FOMC,statement,2001-01-03,bert_score,-0.375,RoBERTa/BERT,-1.2227531447302804
fomc_stmt,FOMC statements,FOMC,statement,2001-01-31,net_score,-0.375,Dictionary,-1.4060817420272622
fomc_stmt,FOMC statements,FOMC,statement,2001-01-31,rf_score,-0.8019982210771687,Random Forest,-1.7056119116964628
fomc_stmt,FOMC statements,FOMC,statement,2001-01-31,bert_score,-0.3333333333333333,RoBERTa/BERT,-1.0285481836090278
fomc_stmt,FOMC statements,FOMC,statement,2001-03-20,net_score,-0.3333333333333333,Dictionary,-1.2270329614020425
fomc_stmt,FOMC statements,FOMC,statement,2001-03-20,rf_score,-0.5375939849624062,Random Forest,-1.1503639865379693
fomc_stmt,FOMC statements,FOMC,statement,2001-03-20,bert_score,-0.375,RoBERTa/BERT,-1.2227531447302804
fomc_stmt,FOMC statements,FOMC,statement,2001-04-18,net_score,-0.25,Dictionary,-0.8689354001516044
fomc_stmt,FOMC statements,FOMC,statement,2001-04-18,rf_score,-0.921925925925926,Random Forest,-1.9574596515995029
fomc_stmt,FOMC statements,FOMC,statement,2001-04-18,bert_score,-0.29411764705882354,RoBERTa/BERT,-0.845767043730202
fomc_stmt,FOMC statements,FOMC,statement,2001-05-15,net_score,-0.3333333333333333,Dictionary,-1.2270329614020425
fomc_stmt,FOMC statements,FOMC,statement,2001-05-15,rf_score,-0.8678571428571429,Random Forest,-1.8439154056527174
fomc_stmt,FOMC statements,FOMC,statement,2001-05-15,bert_score,-0.3333333333333333,RoBERTa/BERT,-1.0285481836090278
fomc_stmt,FOMC statements,FOMC,statement,2001-06-27,net_score,-0.3333333333333333,Dictionary,-1.2270329614020425
fomc_stmt,FOMC statements,FOMC,statement,2001-06-27,rf_score,-0.9614583333333332,Random Forest,-2.0404775620234332
fomc_stmt,FOMC statements,FOMC,statement,2001-06-27,bert_score,-0.375,RoBERTa/BERT,-1.2227531447302804
fomc_stmt,FOMC statements,FOMC,statement,2001-08-21,net_score,-0.3333333333333333,Dictionary,-1.2270329614020425
fomc_stmt,FOMC statements,FOMC,statement,2001-08-21,rf_score,-0.9748960695389268,Random Forest,-2.0686967587224774
fomc_stmt,FOMC statements,FOMC,statement,2001-08-21,bert_score,-0.375,RoBERTa/BERT,-1.2227531447302804
fomc_stmt,FOMC statements,FOMC,statement,2001-09-17,net_score,-0.3333333333333333,Dictionary,-1.2270329614020425
fomc_stmt,FOMC statements,FOMC,statement,2001-09-17,rf_score,-0.6049023998242749,Random Forest,-1.2917114106448142
fomc_stmt,FOMC statements,FOMC,statement,2001-09-17,bert_score,-0.375,RoBERTa/BERT,-1.2227531447302804
fomc_stmt,FOMC statements,FOMC,statement,2001-10-02,net_score,-0.3333333333333333,Dictionary,-1.2270329614020425
fomc_stmt,FOMC statements,FOMC,statement,2001-10-02,rf_score,-0.978095238095238,Random Forest,-2.075415000945923
fomc_stmt,FOMC statements,FOMC,statement,2001-10-02,bert_score,-0.375,RoBERTa/BERT,-1.2227531447302804
fomc_stmt,FOMC statements,FOMC,statement,2001-11-06,net_score,-0.3333333333333333,Dictionary,-1.2270329614020425
fomc_stmt,FOMC statements,FOMC,statement,2001-11-06,rf_score,-0.9689198467595208,Random Forest,-2.056146712825672
