corpus_long,bank,meeting_date,score_name,score,method,score_z
FOMC statements,FOMC,1994-02-04,net_score,0.07692307692307693,Dictionary,0.5359088786001156
FOMC statements,FOMC,1994-02-04,rf_score,0.7730158730158732,Random Forest,1.6019119036971972
FOMC statements,FOMC,1994-02-04,bert_score,0.14285714285714285,RoBERTa/BERT,1.190937086348145
FOMC statements,FOMC,1994-03-22,net_score,0.09090909090909093,Dictionary,0.5960091686001892
FOMC statements,FOMC,1994-03-22,rf_score,0.518921130952381,Random Forest,1.0683138781980916
FOMC statements,FOMC,1994-03-22,bert_score,0.16666666666666666,RoBERTa/BERT,1.3019113498460038
FOMC statements,FOMC,1994-04-18,net_score,0,Dictionary,0.2053572835997109
FOMC statements,FOMC,1994-04-18,rf_score,0.26216976986873186,Random Forest,0.5291369625096533
FOMC statements,FOMC,1994-04-18,bert_score,0.16666666666666666,RoBERTa/BERT,1.3019113498460038
FOMC statements,FOMC,1994-05-17,net_score,0,Dictionary,0.2053572835997109
FOMC statements,FOMC,1994-05-17,rf_score,0.7154901960784313,Random Forest,1.4811081933171992
FOMC statements,FOMC,1994-05-17,bert_score,0.2307692307692308,RoBERTa/BERT,1.6006882131094695
FOMC statements,FOMC,1994-08-16,net_score,0.16666666666666666,Dictionary,0.9215524061005878
FOMC statements,FOMC,1994-08-16,rf_score,-0.02738496071829399,Random Forest,-0.07892690870793832
FOMC statements,FOMC,1994-08-16,bert_score,-0.09090909090909093,RoBERTa/BERT,0.10137159018735103
FOMC statements,FOMC,1994-11-15,net_score,0.09090909090909093,Dictionary,0.5960091686001892
FOMC statements,FOMC,1994-11-15,rf_score,-0.01161616161616152,Random Forest,-0.04581248848397538
FOMC statements,FOMC,1994-11-15,bert_score,0.16666666666666666,RoBERTa/BERT,1.3019113498460038
FOMC statements,FOMC,1995-02-01,net_score,0,Dictionary,0.2053572835997109
FOMC statements,FOMC,1995-02-01,rf_score,0.4647005015748064,Random Forest,0.9544507555603035
FOMC statements,FOMC,1995-02-01,bert_score,0.2307692307692308,RoBERTa/BERT,1.6006882131094695
FOMC statements,FOMC,1995-03-28,net_score,0,Dictionary,0.2053572835997109
FOMC statements,FOMC,1995-07-06,net_score,0.16666666666666666,Dictionary,0.9215524061005878
FOMC statements,FOMC,1995-07-06,rf_score,-0.6610286538857968,Random Forest,-1.4095763381229507
FOMC statements,FOMC,1995-07-06,bert_score,-0.2307692307692308,RoBERTa/BERT,-0.550505202387483
FOMC statements,FOMC,1995-12-19,net_score,-0.09090909090909093,Dictionary,-0.18529460140076748
FOMC statements,FOMC,1995-12-19,rf_score,-0.6570350836270648,Random Forest,-1.4011898552408337
FOMC statements,FOMC,1995-12-19,bert_score,-0.2307692307692308,RoBERTa/BERT,-0.550505202387483
FOMC statements,FOMC,1996-01-31,net_score,0,Dictionary,0.2053572835997109
FOMC statements,FOMC,1996-01-31,rf_score,0.1578104997557885,Random Forest,0.30998287839688626
FOMC statements,FOMC,1996-01-31,bert_score,0,RoBERTa/BERT,0.5250915053609932
FOMC statements,FOMC,1997-03-25,net_score,-0.07692307692307693,Dictionary,-0.12519431140069384
FOMC statements,FOMC,1997-03-25,rf_score,0.5488214442562269,Random Forest,1.1311044263659482
FOMC statements,FOMC,1997-03-25,bert_score,0.07692307692307693,RoBERTa/BERT,0.8836237412771518
FOMC statements,FOMC,1998-09-29,net_score,0,Dictionary,0.2053572835997109
FOMC statements,FOMC,1998-09-29,rf_score,-0.5112621210918424,Random Forest,-1.095067169079491
FOMC statements,FOMC,1998-09-29,bert_score,-0.16666666666666666,RoBERTa/BERT,-0.25172833912401726
FOMC statements,FOMC,1998-10-15,net_score,-0.09090909090909093,Dictionary,-0.18529460140076748
FOMC statements,FOMC,1998-10-15,rf_score,-0.02003676470588233,Random Forest,-0.06349572405861763
FOMC statements,FOMC,1998-10-15,bert_score,-0.16666666666666666,RoBERTa/BERT,-0.25172833912401726
FOMC statements,FOMC,1998-11-17,net_score,0.16666666666666666,Dictionary,0.9215524061005878
FOMC statements,FOMC,1998-11-17,rf_score,0.2538040707683566,Random Forest,0.5115690251110727
FOMC statements,FOMC,1998-11-17,bert_score,-0.09090909090909093,RoBERTa/BERT,0.10137159018735103
FOMC statements,FOMC,1999-02-03,net_score,0,Dictionary,0.2053572835997109
FOMC statements,FOMC,1999-03-30,net_score,0,Dictionary,0.2053572835997109
FOMC statements,FOMC,1999-05-18,net_score,-0.09090909090909093,Dictionary,-0.18529460140076748
FOMC statements,FOMC,1999-05-18,rf_score,0.02512784100389392,Random Forest,0.03134978212332567
FOMC statements,FOMC,1999-05-18,bert_score,-0.14285714285714285,RoBERTa/BERT,-0.1407540756261586
FOMC statements,FOMC,1999-06-30,net_score,0.09090909090909093,Dictionary,0.5960091686001892
FOMC statements,FOMC,1999-06-30,rf_score,-0.0503494955404179,Random Forest,-0.1271523475268527
FOMC statements,FOMC,1999-06-30,bert_score,0.09090909090909093,RoBERTa/BERT,0.9488114205346354
FOMC statements,FOMC,1999-08-24,net_score,0.06666666666666667,Dictionary,0.4918353326000616
FOMC statements,FOMC,1999-08-24,rf_score,-0.5028273809523811,Random Forest,-1.0773542457522938
FOMC statements,FOMC,1999-08-24,bert_score,0.09090909090909093,RoBERTa/BERT,0.9488114205346354
FOMC statements,FOMC,1999-10-05,net_score,0,Dictionary,0.2053572835997109
FOMC statements,FOMC,1999-10-05,rf_score,-0.3991756814658068,Random Forest,-0.859686057357264
FOMC statements,FOMC,1999-10-05,bert_score,0.2307692307692308,RoBERTa/BERT,1.6006882131094695
FOMC statements,FOMC,1999-11-16,net_score,0.2857142857142857,Dictionary,1.433120350744071
FOMC statements,FOMC,1999-11-16,rf_score,0.3242533124360856,Random Forest,0.6595121739796009
FOMC statements,FOMC,1999-11-16,bert_score,0.14285714285714285,RoBERTa/BERT,1.190937086348145
FOMC statements,FOMC,1999-12-21,net_score,0.09090909090909093,Dictionary,0.5960091686001892
FOMC statements,FOMC,1999-12-21,rf_score,-0.6345330111557129,Random Forest,-1.353935585660746
FOMC statements,FOMC,1999-12-21,bert_score,-0.2307692307692308,RoBERTa/BERT,-0.550505202387483
FOMC statements,FOMC,2000-02-02,net_score,0.2307692307692308,Dictionary,1.1970120686009251
FOMC statements,FOMC,2000-02-02,rf_score,0.6388888888888888,Random Forest,1.3202457294383645
FOMC statements,FOMC,2000-02-02,bert_score,0.14285714285714285,RoBERTa/BERT,1.190937086348145
FOMC statements,FOMC,2000-03-21,net_score,0.2307692307692308,Dictionary,1.1970120686009251
FOMC statements,FOMC,2000-03-21,rf_score,0.44666666666666666,Random Forest,0.916579768459139
FOMC statements,FOMC,2000-03-21,bert_score,0.2857142857142857,RoBERTa/BERT,1.8567826673352967
FOMC statements,FOMC,2000-05-16,net_score,0.16666666666666666,Dictionary,0.9215524061005878
FOMC statements,FOMC,2000-05-16,rf_score,0.419607843137255,Random Forest,0.8597563383858992
FOMC statements,FOMC,2000-05-16,bert_score,0.3333333333333333,RoBERTa/BERT,2.078731194331014
FOMC statements,FOMC,2000-06-28,net_score,0.09090909090909093,Dictionary,0.5960091686001892
FOMC statements,FOMC,2000-06-28,rf_score,-0.2809400261994082,Random Forest,-0.6113916153653143
FOMC statements,FOMC,2000-06-28,bert_score,-0.07692307692307693,RoBERTa/BERT,0.16655926944483448
FOMC statements,FOMC,2000-08-22,net_score,0.09090909090909093,Dictionary,0.5960091686001892
FOMC statements,FOMC,2000-08-22,rf_score,-0.2489289747007087,Random Forest,-0.5441685247372205
FOMC statements,FOMC,2000-08-22,bert_score,0,RoBERTa/BERT,0.5250915053609932
FOMC statements,FOMC,2000-10-03,net_score,0.09090909090909093,Dictionary,0.5960091686001892
FOMC statements,FOMC,2000-10-03,rf_score,-0.2804859048488275,Random Forest,-0.6104379621962679
FOMC statements,FOMC,2000-10-03,bert_score,-0.14285714285714285,RoBERTa/BERT,-0.1407540756261586
FOMC statements,FOMC,2000-11-15,net_score,0,Dictionary,0.2053572835997109
FOMC statements,FOMC,2000-11-15,rf_score,-0.49584192987781983,Random Forest,-1.0626848241407474
FOMC statements,FOMC,2000-11-15,bert_score,0,RoBERTa/BERT,0.5250915053609932
FOMC statements,FOMC,2000-12-19,net_score,-0.16666666666666666,Dictionary,-0.510837838901166
FOMC statements,FOMC,2000-12-19,rf_score,-0.6545239712053446,Random Forest,-1.3959165283740331
FOMC statements,FOMC,2000-12-19,bert_score,-0.2307692307692308,RoBERTa/BERT,-0.550505202387483
FOMC statements,FOMC,2001-01-03,net_score,-0.2857142857142857,Dictionary,-1.0224057835446494
FOMC statements,FOMC,2001-01-03,rf_score,-0.9283757716049384,Random Forest,-1.9710043038467144
FOMC statements,FOMC,2001-01-03,bert_score,-0.375,RoBERTa/BERT,-1.2227531447302804
FOMC statements,FOMC,2001-01-31,net_score,-0.375,Dictionary,-1.4060817420272622
FOMC statements,FOMC,2001-01-31,rf_score,-0.8019982210771687,Random Forest,-1.7056119116964628
FOMC statements,FOMC,2001-01-31,bert_score,-0.3333333333333333,RoBERTa/BERT,-1.0285481836090278
FOMC statements,FOMC,2001-03-20,net_score,-0.3333333333333333,Dictionary,-1.2270329614020425
FOMC statements,FOMC,2001-03-20,rf_score,-0.5375939849624062,Random Forest,-1.1503639865379693
FOMC statements,FOMC,2001-03-20,bert_score,-0.375,RoBERTa/BERT,-1.2227531447302804
FOMC statements,FOMC,2001-04-18,net_score,-0.25,Dictionary,-0.8689354001516044
FOMC statements,FOMC,2001-04-18,rf_score,-0.921925925925926,Random Forest,-1.9574596515995029
FOMC statements,FOMC,2001-04-18,bert_score,-0.29411764705882354,RoBERTa/BERT,-0.845767043730202
FOMC statements,FOMC,2001-05-15,net_score,-0.3333333333333333,Dictionary,-1.2270329614020425
FOMC statements,FOMC,2001-05-15,rf_score,-0.8678571428571429,Random Forest,-1.8439154056527174
