corpus_long,bank,meeting_date,score_component,score
FOMC statements,FOMC,2000-12-19,Policy score,-0.09090909090909093
FOMC statements,FOMC,2000-12-19,Economic score,-0.09090909090909093
FOMC statements,FOMC,2000-12-19,Aggregate net score,-0.16666666666666666
FOMC statements,FOMC,2001-01-03,Policy score,-0.2307692307692308
FOMC statements,FOMC,2001-01-03,Economic score,-0.09090909090909093
FOMC statements,FOMC,2001-01-03,Aggregate net score,-0.2857142857142857
FOMC statements,FOMC,2001-01-31,Policy score,-0.3333333333333333
FOMC statements,FOMC,2001-01-31,Economic score,-0.09090909090909093
FOMC statements,FOMC,2001-01-31,Aggregate net score,-0.375
FOMC statements,FOMC,2001-03-20,Policy score,-0.2857142857142857
FOMC statements,FOMC,2001-03-20,Economic score,-0.09090909090909093
FOMC statements,FOMC,2001-03-20,Aggregate net score,-0.3333333333333333
FOMC statements,FOMC,2001-04-18,Policy score,-0.14285714285714285
FOMC statements,FOMC,2001-04-18,Economic score,-0.16666666666666666
FOMC statements,FOMC,2001-04-18,Aggregate net score,-0.25
FOMC statements,FOMC,2001-05-15,Policy score,-0.2
FOMC statements,FOMC,2001-05-15,Economic score,-0.2307692307692308
FOMC statements,FOMC,2001-05-15,Aggregate net score,-0.3333333333333333
FOMC statements,FOMC,2001-06-27,Policy score,-0.2857142857142857
FOMC statements,FOMC,2001-06-27,Economic score,-0.09090909090909093
FOMC statements,FOMC,2001-06-27,Aggregate net score,-0.3333333333333333
FOMC statements,FOMC,2001-08-21,Policy score,-0.2857142857142857
FOMC statements,FOMC,2001-08-21,Economic score,-0.09090909090909093
FOMC statements,FOMC,2001-08-21,Aggregate net score,-0.3333333333333333
FOMC statements,FOMC,2001-09-17,Policy score,-0.2307692307692308
FOMC statements,FOMC,2001-09-17,Economic score,-0.16666666666666666
FOMC statements,FOMC,2001-09-17,Aggregate net score,-0.3333333333333333
FOMC statements,FOMC,2001-10-02,Policy score,-0.2307692307692308
FOMC statements,FOMC,2001-10-02,Economic score,-0.16666666666666666
FOMC statements,FOMC,2001-10-02,Aggregate net score,-0.3333333333333333
FOMC statements,FOMC,2001-11-06,Policy score,-0.2307692307692308
FOMC statements,FOMC,2001-11-06,Economic score,-0.16666666666666666
FOMC statements,FOMC,2001-11-06,Aggregate net score,-0.3333333333333333
FOMC statements,FOMC,2001-12-11,Policy score,-0.2307692307692308
FOMC statements,FOMC,2001-12-11,Economic score,-0.07692307692307693
FOMC statements,FOMC,2001-12-11,Aggregate net score,-0.25
FOMC statements,FOMC,2002-01-30,Policy score,-0.16666666666666666
FOMC statements,FOMC,2002-01-30,Economic score,-0.16666666666666666
FOMC statements,FOMC,2002-01-30,Aggregate net score,-0.2857142857142857
FOMC statements,FOMC,2002-03-19,Policy score,0
FOMC statements,FOMC,2002-03-19,Economic score,0.09090909090909093
FOMC statements,FOMC,2002-03-19,Aggregate net score,0.09090909090909093
FOMC statements,FOMC,2002-05-07,Policy score,0
FOMC statements,FOMC,2002-05-07,Economic score,0.09090909090909093
FOMC statements,FOMC,2002-05-07,Aggregate net score,0.09090909090909093
FOMC statements,FOMC,2002-06-26,Policy score,0.09090909090909093
FOMC statements,FOMC,2002-06-26,Economic score,0
FOMC statements,FOMC,2002-06-26,Aggregate net score,0.09090909090909093
FOMC statements,FOMC,2002-08-13,Policy score,-0.16666666666666666
FOMC statements,FOMC,2002-08-13,Economic score,-0.16666666666666666
FOMC statements,FOMC,2002-08-13,Aggregate net score,-0.2857142857142857
FOMC statements,FOMC,2002-09-24,Policy score,-0.16666666666666666
